"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"XELB","Xcel Brands, Inc","9.12","164140446.72","n/a","United States","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/xelb",
"XEL","Xcel Energy Inc.","33.16","16819128100.72","n/a","United States","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/xel",
"XCRA","Xcerra Corporation","5.84","318811142.16","n/a","United States","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/xcra",
"XNCR","Xencor, Inc.","15.51","627721154.28","n/a","United States","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xncr",
"XHR","Xenia Hotels & Resorts, Inc.","19.1","2132923205.2","n/a","United States","2015","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/xhr",
"XBKS","Xenith Bankshares, Inc.","6.34","82407110.78","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/xbks",
"XNPT","XenoPort, Inc.","6.73","424510935.65","n/a","United States","2005","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xnpt",
"XRM","Xerium Technologies, Inc.","12.35","192634719.55","n/a","United States","2005","Basic Industries","Textiles","http://www.nasdaq.com/symbol/xrm",
"XRX","Xerox Corporation","10.32","11029960705.44","n/a","United States","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/xrx",
"XGTI","XG Technology, Inc","0.511","2620859.213","n/a","United States","2013","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/xgti",
"XGTIW","XG Technology, Inc","0.12","0","n/a","United States","2013","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/xgtiw",
"XLNX","Xilinx, Inc.","42.83","11078317214.55","n/a","United States","1990","Technology","Semiconductors","http://www.nasdaq.com/symbol/xlnx",
"XOXO","XO Group, Inc.","14.28","374748569.16","n/a","United States","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/xoxo",
"XOMA","XOMA Corporation","0.8472","100464395.2992","n/a","United States","1986","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xoma",
"XOOM","Xoom Corporation","24.85","976944500.7","n/a","United States","2013","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/xoom",
"XPLR","Xplore Technologies Corp","5.56","60064952.44","n/a","United States","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/xplr",
"XPO","XPO Logistics, Inc.","31.09","2964604267.13","n/a","United States","n/a","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/xpo",
"MESG","Xura, Inc.","21.36","535254707.76","n/a","United States","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mesg",
"XYL","Xylem Inc.","32.22","5847902645.22","n/a","United States","2011","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/xyl",
"YDKN","Yadkin Financial Corporation","21.43","679586038.43","n/a","United States","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ydkn",
"YHOO","Yahoo! Inc.","30.32","28542970329.44","n/a","United States","1996","Technology","EDP Services","http://www.nasdaq.com/symbol/yhoo",
"YELP","Yelp Inc.","24.47","1841436823.51","n/a","United States","2012","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/yelp",
"YDLE","Yodlee, Inc.","16.13","490245074.23","n/a","United States","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ydle",
"YOD","You On Demand Holdings, Inc.","1.95","46699504.8","n/a","United States","n/a","Consumer Services","Television Services","http://www.nasdaq.com/symbol/yod",
