SYMBOL,NAME,EXCHANGE
SC04.DE,SOU 600 PRS EUR-AC,GER
DBXF.SG,DBX SOV EUR 15+ 1C,STU
KORZ,DIREXION DAILY SOUTH KOREA BEAR 3X ETF,PCX
LYTUR.SW,LYX UC ETF TURKEY,EBS
18442920.SG,6.875 KFW 16 MTN 53,STU
3190701.SG,KAZKOM 17 VRN,STU
UKAG.L,SPDR® BARCLAYS STERLING AGGREGATE BD ETF,LSE
X507.SW,COMS ILSD10-15 IC,EBS
C079.SW,COMS S600 UTIL IC,EBS
DSUG.L,MULTI UNITS FRANCE LYXOR DOUBLE,LSE
AUEUIH.SW,UBSGLEURH EUR IDIS,EBS
EEXF.L,ISHARES III PLC ISHARES EURO CO,LSE
IEGY.AS,ISHS EUR GOV BD EUR,AMS
EDC.MX,DIREX DLY EMG MB 3X,MEX
RGB.AX,RUSSELL AUSTRALIAN GOVERNMENT BOND ETF,ASX
IFNA.MX,ISH NRTH AM RE,MEX
CRDG.L,SOCIETE GENERALE EFFEKTEN GMBH,LSE
11058191.DU,COMS HSCEI IC,DUS
UC24.L,UBS ETF (IE) MSCI CANADA SF,LSE
HEA-A.TO,HORIZONS ENHD INC US EQUITY ETF,TOR
6AQQ.DE,AM NASD-100 ETF EUR,GER
JJT,IPATH DJ-UBS TIN SUBTR ETN,PCX
M9SB.DE,RBS M A RICI A C,GER
SALU.MI,SALU/ETFS,MIL
SSAC.L,ISHARES V PUBLIC LIMITED COMPAN,LSE
EMH5.L,SPDR® BOFA MERRILL LYNCH0-5YREM$GOVBDETF,LSE
XBAT.DE,DBX SOV EUR AAA 1C,GER
LRX1.MU,L UCITS 15+Y INV GR,MUN
60RR.L,TATA/HSBC WT19,LSE
GLTR,ETFS PHYSICAL PM BASKET,PCX
VEFK.BE,MKT VCT GERMANY SC,BER
VHY.AX,VANGUARD AUSTRALIAN SHARES HIGH YLD ETF,ASX
DBPS.DE,DBXT MSCI W HC 1C,GER
DBPP.SG,DBXT MSCI W CD 1C,STU
SAUS.L,ISHARES MSCI AUSTRALIA,LSE
KSBY-143.TA,DRBX/KSM SAL S143,TLV
IQQC.MU,ISHS CHIN LA CA G-C,MUN
IBCD.DU,ISHS USD CO BD G-CT,DUS
O118.L,ISHARES PLC ISHARES MSCI WORLD ,LSE
XDWD.F,DBX WORLD USD-1C-AC,FRA
20007265.DU,ADIB CAP VRN,DUS
AMES.SG,AM SPAIN UCITS ETF,STU
DBX8.F,DBXT MSCI KOREA 1C,FRA
BKF,ISHARES MSCI BRIC,PCX
CCTN.SW,CCTN/ETFS,EBS
140700.KS,KODEX INSURANCE,KSC
INDX-M25.TA,BASKT/INDEX SAL S25,TLV
DAX.PA,MUL LY DAX,PAR
CBUS5.SW,UBS ETF BUS 1-5 AD,EBS
DX2Y.SG,DBXT DB HFI ETF 1C,STU
DSUS.L,LYXOR ETF DAILY DBL SHRT 10Y US TRSR C-$,LSE
IEGA.L,ISHARES III PLC ISHARES CORE EU,LSE
INDSK-21.TA,NLGB/INDEX SAL S21,TLV
SXRZ.F,ISHS NIK 225 JPY-AC,FRA
22074532.DU,DBX EUY+ 1-3 ETF 1C,DUS
IM2A.BE,FTSE E E TEUE CD,BER
D5BK.DU,DBXT E/N DE RE 1C,DUS
SSYO.L,ETFS COMMODITY SECURITIES LIMIT,LSE
11599694.MU,ARCEL 15 SRFRN,MUN
3595049.IR,POWSHS FTSE DEV EUR,ISE
63GL.L,,
2617059.SW,RBS M A RICI M C,EBS
XSPS.L,DB X-TRACKERS DBX S&P; 500 INVER,LSE
CS5.L,AMUNDI ETF MSCI EURP CONSUMER STPLS A/I,LSE
13ST.L,RED SEA/HSBC 15 ELN,LSE
CSRU.AS,ISHS MSCI RU USD-AC,AMS
MVV,PROSHARES ULTRA MIDCAP400,PCX
PHE-B.TO,PURPOSE TACTICAL HEDGED EQUITY ,TOR
13SS.L,EMAAR/HSBC 15 ELN,LSE
THD.MX,ISHS MSCI TH CPINMK,MEX
